model,config,seed,fold,test_condition,mae
RandomForestModel,ae_logspec+vib_logspec,42,0,1,0.005353374331215316
RandomForestModel,ae_logspec+vib_logspec,42,1,2,0.002894748963497902
RandomForestModel,ae_logspec+vib_logspec,42,2,3,0.010304757753443004
RandomForestModel,ae_logspec+vib_logspec,42,3,4,0.007628513427765537
RandomForestModel,ae_logspec+vib_logspec,42,4,5,0.0029372186328278796
RandomForestModel,ae_logspec+vib_logspec,42,5,6,0.006023228213433941
RandomForestModel,ae_logspec+vib_logspec,42,6,7,0.13726841244728938
RandomForestModel,ae_logspec+vib_logspec,42,7,8,0.06757538280515643
RandomForestModel,ae_logspec+vib_logspec,42,8,9,0.010738839976685625
RandomForestModel,ae_logspec+vib_logspec,42,9,10,0.010077330090602115
RandomForestModel,ae_logspec+vib_logspec,42,10,11,0.009001065067578497
RandomForestModel,ae_logspec+vib_logspec,42,11,12,0.008943827559564072
RandomForestModel,ae_logspec+vib_logspec,42,12,13,0.013327029780218968
RandomForestModel,ae_logspec+vib_logspec,42,13,14,0.014569438232204645
RandomForestModel,ae_logspec+vib_logspec,42,14,15,0.009767381436439519
RandomForestModel,ae_logspec+vib_logspec,42,15,16,0.0058168817825320395
RandomForestModel,ae_logspec+vib_logspec,43,0,1,0.005417540320230217
RandomForestModel,ae_logspec+vib_logspec,43,1,2,0.0034980404716820216
RandomForestModel,ae_logspec+vib_logspec,43,2,3,0.01043375041631906
RandomForestModel,ae_logspec+vib_logspec,43,3,4,0.008534473956760196
RandomForestModel,ae_logspec+vib_logspec,43,4,5,0.0027866168668075836
RandomForestModel,ae_logspec+vib_logspec,43,5,6,0.006065595267692944
RandomForestModel,ae_logspec+vib_logspec,43,6,7,0.1384909656424627
RandomForestModel,ae_logspec+vib_logspec,43,7,8,0.05887015669204606
RandomForestModel,ae_logspec+vib_logspec,43,8,9,0.009810670708769169
RandomForestModel,ae_logspec+vib_logspec,43,9,10,0.01065792129408474
RandomForestModel,ae_logspec+vib_logspec,43,10,11,0.008476112743411583
RandomForestModel,ae_logspec+vib_logspec,43,11,12,0.008793906180250995
RandomForestModel,ae_logspec+vib_logspec,43,12,13,0.013047688614750353
RandomForestModel,ae_logspec+vib_logspec,43,13,14,0.013426042479250772
RandomForestModel,ae_logspec+vib_logspec,43,14,15,0.010406192234943119
RandomForestModel,ae_logspec+vib_logspec,43,15,16,0.005729551228433572
RandomForestModel,ae_logspec+vib_logspec,44,0,1,0.005420392997109829
RandomForestModel,ae_logspec+vib_logspec,44,1,2,0.003139215582341758
RandomForestModel,ae_logspec+vib_logspec,44,2,3,0.009821416979589243
RandomForestModel,ae_logspec+vib_logspec,44,3,4,0.007955269960757343
RandomForestModel,ae_logspec+vib_logspec,44,4,5,0.002703815228139753
RandomForestModel,ae_logspec+vib_logspec,44,5,6,0.005864168952992922
RandomForestModel,ae_logspec+vib_logspec,44,6,7,0.13039542357139725
RandomForestModel,ae_logspec+vib_logspec,44,7,8,0.06163918680984241
RandomForestModel,ae_logspec+vib_logspec,44,8,9,0.010307302193185819
RandomForestModel,ae_logspec+vib_logspec,44,9,10,0.010800156000372275
RandomForestModel,ae_logspec+vib_logspec,44,10,11,0.008265191062034319
RandomForestModel,ae_logspec+vib_logspec,44,11,12,0.008648373979690515
RandomForestModel,ae_logspec+vib_logspec,44,12,13,0.012787516271894759
RandomForestModel,ae_logspec+vib_logspec,44,13,14,0.01354472587316651
RandomForestModel,ae_logspec+vib_logspec,44,14,15,0.00993593324674243
RandomForestModel,ae_logspec+vib_logspec,44,15,16,0.005362288043009443
RandomForestModel,ae_logspec+vib_logspec,45,0,1,0.005153627822068514
RandomForestModel,ae_logspec+vib_logspec,45,1,2,0.002866952074340202
RandomForestModel,ae_logspec+vib_logspec,45,2,3,0.009885957012659378
RandomForestModel,ae_logspec+vib_logspec,45,3,4,0.007059617145278513
RandomForestModel,ae_logspec+vib_logspec,45,4,5,0.0028029045664889575
RandomForestModel,ae_logspec+vib_logspec,45,5,6,0.006170529581383258
RandomForestModel,ae_logspec+vib_logspec,45,6,7,0.14216265987450075
RandomForestModel,ae_logspec+vib_logspec,45,7,8,0.05159467155546342
RandomForestModel,ae_logspec+vib_logspec,45,8,9,0.012020963684811058
RandomForestModel,ae_logspec+vib_logspec,45,9,10,0.012023603832704493
RandomForestModel,ae_logspec+vib_logspec,45,10,11,0.008802506936818128
RandomForestModel,ae_logspec+vib_logspec,45,11,12,0.008985158559145263
RandomForestModel,ae_logspec+vib_logspec,45,12,13,0.012715510197610521
RandomForestModel,ae_logspec+vib_logspec,45,13,14,0.013507995859687738
RandomForestModel,ae_logspec+vib_logspec,45,14,15,0.00980445299969152
RandomForestModel,ae_logspec+vib_logspec,45,15,16,0.005754966908914705
RandomForestModel,ae_logspec+vib_logspec,46,0,1,0.00527145221362317
RandomForestModel,ae_logspec+vib_logspec,46,1,2,0.0029964270218492614
RandomForestModel,ae_logspec+vib_logspec,46,2,3,0.010276952330563818
RandomForestModel,ae_logspec+vib_logspec,46,3,4,0.007555148017416106
RandomForestModel,ae_logspec+vib_logspec,46,4,5,0.00289464702590671
RandomForestModel,ae_logspec+vib_logspec,46,5,6,0.006522980653461133
RandomForestModel,ae_logspec+vib_logspec,46,6,7,0.13991687364812208
RandomForestModel,ae_logspec+vib_logspec,46,7,8,0.05617754117879366
RandomForestModel,ae_logspec+vib_logspec,46,8,9,0.009979352360004053
RandomForestModel,ae_logspec+vib_logspec,46,9,10,0.010712799461964838
RandomForestModel,ae_logspec+vib_logspec,46,10,11,0.009501655493419435
RandomForestModel,ae_logspec+vib_logspec,46,11,12,0.00874426050123532
RandomForestModel,ae_logspec+vib_logspec,46,12,13,0.012567501164374786
RandomForestModel,ae_logspec+vib_logspec,46,13,14,0.010670251426627675
RandomForestModel,ae_logspec+vib_logspec,46,14,15,0.010014027982399563
RandomForestModel,ae_logspec+vib_logspec,46,15,16,0.0055658540184087375
