citation_key,doi,expected_title,api_title,title_similarity,http_status,verified,decision,source,rationale
Chen2025PrecisionGrinding,10.1016/j.cirpj.2025.02.004,Predictive modelling of surface roughness in precision grinding based on hybrid algorithm,Predictive modelling of surface roughness in precision grinding based on hybrid algorithm,1.0000,200,True,include,cache,Directly studies multimodal AE/vibration roughness prediction in precision grinding.
Wu2025ECMInterpretability,10.1016/j.engappai.2025.111807,Data-driven models with physical interpretability for real-time cavity profile prediction in electrochemical machining processes,Data-driven models with physical interpretability for real-time cavity profile prediction in electrochemical machining processes,1.0000,200,True,include,cache,Direct manufacturing precedent for SHAP and Grad-CAM inspection of process predictions.
Ge2025BLSVSG,10.1016/j.compositesb.2025.112701,Tackling data scarcity in machine learning-based CFRP drilling performance prediction through a broad learning system with virtual sample generation (BLS-VSG),Tackling data scarcity in machine learning-based CFRP drilling performance prediction through a broad learning system with virtual sample generation (BLS-VSG),1.0000,200,True,include,cache,Supports the discussion of small-data manufacturing prediction and augmentation.
Shi2025FlexibleFixture,10.3390/jmmp9050139,Design and Manufacture of a Flexible Adaptive Fixture for Precision Grinding of Thin-Walled Bearing Rings,Design and Manufacture of a Flexible Adaptive Fixture for Precision Grinding of Thin-Walled Bearing Rings,1.0000,200,True,include,cache,Provides bearing-ring grinding context for clamping-induced deformation and fixture stability.
Wu2022ECMProfile,10.1016/j.procir.2022.09.192,Profile prediction in ECM using machine learning,Profile prediction in ECM using machine learning,1.0000,200,True,include,cache,Manufacturing precedent for combining process parameters and in-process data in profile prediction.
Wu2025LPBFAE,10.1016/j.procir.2025.02.091,Data-Driven Approach to Identify Acoustic Emission Source Motion and Positioning Effects in Laser Powder Bed Fusion with Frequency Analysis,Data-Driven Approach to Identify Acoustic Emission Source Motion and Positioning Effects in Laser Powder Bed Fusion with Frequency Analysis,1.0000,200,True,include,cache,Supports the sensor-context caveat for frequency attribution in AE monitoring.
Zhang2025MedicalSegmentation,10.3390/info16060433,A Review of Non-Fully Supervised Deep Learning for Medical Image Segmentation,A Review of Non-Fully Supervised Deep Learning for Medical Image Segmentation,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Liu2020ECDGrinding,10.1515/secm-2020-0038,Electrochemical Discharge Grinding of Metal Matrix Composites Using Shaped Abrasive Tools Formed by Sintered Bronze/diamond,Electrochemical Discharge Grinding of Metal Matrix Composites Using Shaped Abrasive Tools Formed by Sintered Bronze/diamond,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2023MEJM,10.1115/1.4056570,Experimental and Numerical Investigations on Fabrication of Surface Microstructures Using Mask Electrolyte Jet Machining and Duckbill Nozzle,Experimental and Numerical Investigations on Fabrication of Surface Microstructures Using Mask Electrolyte Jet Machining and Duckbill Nozzle,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2022MultiIonMEJM,10.3390/mi13122165,Multi-Ion-Based Modelling and Experimental Investigations on Consistent and High-Throughput Generation of a Micro Cavity Array by Mask Electrolyte Jet Machining,Multi-Ion-Based Modelling and Experimental Investigations on Consistent and High-Throughput Generation of a Micro Cavity Array by Mask Electrolyte Jet Machining,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2018JetECM,10.1016/j.procir.2017.12.079,Modeling and simulation of the material removal process in electrolyte jet machining of mass transfer in convection and electric migration,Modeling and Simulation of the Material Removal Process in Electrolyte Jet Machining of Mass Transfer in Convection and Electric Migration,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2020MicroLetters,10.1016/j.procir.2020.02.261,Fabrication of Surface Micro Letters by Electrolyte Jet Mask Machining,Fabrication of surface micro letters by electrolyte jet mask machining,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2025EDMGeometry,10.1016/j.procir.2025.07.010,Geometrical feature classification in electrical discharge machining using in-process monitoring and machine learning,Geometrical Feature Classification in Electrical Discharge Machining Using In-Process Monitoring and Machine Learning,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2025PulseClassification,10.1016/j.procir.2025.02.118,A Threshold-Free and Label-Free Pipeline for Adaptive Pulse Classification in Electrical Discharge Machining,A Threshold-Free and Label-Free Pipeline for Adaptive Pulse Classification in Electrical Discharge Machining,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Wu2025FFF,10.1016/j.procir.2025.02.098,Deep Learning-based characterization of fused filament fabrication from temporal thermal data,Deep Learning-based Characterization of Fused Filament Fabrication from Temporal Thermal Data,1.0000,200,True,exclude,cache,Outside the direct scope of the grinding roughness benchmark.
Yao2025RFDischarge,,Intelligent discharge state detection in micro-EDM process with cost-effective radio frequency (RF) radiation: Integrating machine learning and interpretable AI,,,,False,exclude,,No DOI or final bibliographic record was supplied.
Yao2024Crater,,Prediction of crater morphology and its application for enhancing dimensional accuracy in micro-EDM,,,,False,exclude,,No DOI was supplied; outside the direct benchmark scope.
LinSecureDet,,"The Enhance-Fuse-Align Principle: A New Architectural Blueprint for Robust Object Detection, with Application to X-Ray Security",,,,False,exclude,,No final publication record or DOI was supplied.
ShaoCFTADRC,,Composite finite-time ADRC for flexible-joint manipulators with frequency-domain separation,,,,False,exclude,,No final publication record or DOI was supplied.
ShaoAeroPINN,,An aero-thermodynamic physics-informed neural network for small-sample performance prediction of variable-speed centrifugal Chillers,,,,False,exclude,,No final publication record or DOI was supplied.
WuMaskElectrolyteJet,,Fabrication of surface microstructures by mask electrolyte jet machining,,,,False,exclude,,No DOI was supplied and the topic is outside the direct benchmark scope.
