frequency_khz,mean_abs_shap
0.0,3.0140288150618907e-07
6.688963210702341,1.5079710451274348e-07
13.377926421404682,3.093531301546674e-07
20.066889632107024,2.707136079448398e-07
26.755852842809364,3.9073767772858217e-07
33.44481605351171,8.500476588137203e-07
40.13377926421405,1.4569688458680858e-07
46.82274247491639,8.872124057083279e-08
53.51170568561873,2.2861746603311887e-07
60.20066889632107,1.8444242047029365e-07
66.88963210702342,2.0049012915729048e-07
73.57859531772574,2.6153689633312886e-07
80.2675585284281,3.4220386824102707e-07
86.95652173913044,3.9459185763827114e-07
93.64548494983278,7.034376249998624e-07
100.33444816053512,6.468839619563846e-07
107.02341137123746,2.617898780433052e-07
113.7123745819398,2.7616251248569035e-07
120.40133779264214,2.4560678864851255e-07
127.09030100334449,5.445777876839272e-07
133.77926421404683,5.068477966395224e-07
140.46822742474916,3.186877245568013e-07
147.15719063545149,3.05546545757973e-07
153.84615384615384,3.174577311474212e-07
160.5351170568562,3.4124872214892246e-07
167.22408026755852,3.9931708392059766e-07
173.91304347826087,2.127410555087266e-07
180.6020066889632,6.078781839493252e-07
187.29096989966555,5.927853413129352e-07
193.97993311036788,1.3942481214873109e-06
200.66889632107024,2.2981880586303966e-07
207.3578595317726,3.194575736617965e-07
214.04682274247492,1.5410850676254387e-07
220.73578595317724,7.566308555608153e-07
227.4247491638796,1.7075576548406736e-07
234.11371237458192,1.6318511742211187e-07
240.80267558528428,2.741913046105456e-07
247.49163879598663,5.98972064128318e-07
254.18060200668899,4.7015977363284435e-07
260.8695652173913,9.275735206904907e-08
267.55852842809367,5.503748633936983e-07
274.247491638796,6.455524970547364e-07
280.9364548494983,1.8147649095743128e-07
287.6254180602007,2.2275542312216201e-07
294.31438127090297,5.278629994591673e-07
301.0033444816053,1.358652210173063e-07
307.6923076923077,2.145757443698018e-06
314.38127090301003,1.9080763803008357e-07
321.0702341137124,3.265209917490567e-07
327.75919732441474,3.221617283810954e-07
334.44816053511704,2.2127140879388142e-05
341.1371237458194,2.0505507182637045e-05
347.82608695652175,1.9050015788308858e-07
354.5150501672241,1.558875455800722e-07
361.2040133779264,1.4764679596667484e-07
367.89297658862876,1.8004240834951077e-07
374.5819397993311,1.36890804784104e-07
381.2709030100334,1.4728481952473997e-07
387.95986622073576,2.0867176041176467e-07
394.6488294314381,1.083788166515692e-07
401.33779264214047,1.00579664365216e-07
408.0267558528428,1.9314234213209846e-07
414.7157190635452,1.6295741930056263e-07
421.40468227424753,1.423106401271872e-07
428.09364548494983,1.0322830733015377e-07
434.7826086956522,4.9140539784127574e-08
441.4715719063545,9.6705950303728e-08
448.16053511705684,1.403623757695207e-07
454.8494983277592,9.888762705060686e-08
461.53846153846155,2.274023590985511e-07
468.22742474916384,2.76424157778938e-07
474.9163879598662,2.152710934524529e-07
481.60535117056855,2.147639953344897e-07
488.2943143812709,2.7242307850090775e-07
494.98327759197326,4.1806583133319963e-07
501.6722408026756,3.9864682646265004e-07
508.36120401337797,1.9516656041279567e-07
515.0501672240803,1.589868066546106e-07
521.7391304347826,1.3166845926394278e-07
528.428093645485,1.8123022535327016e-07
535.1170568561873,1.7885629555886716e-07
541.8060200668896,3.335080496015477e-07
548.494983277592,2.0721700942571132e-07
555.1839464882943,2.374158933100257e-07
561.8729096989966,2.655830979847191e-07
568.561872909699,2.155247880413569e-07
575.2508361204013,3.0255852654689585e-07
581.9397993311037,3.039997334103276e-07
588.6287625418059,2.789975695880124e-07
595.3177257525084,2.453873280952173e-07
602.0066889632106,1.014140850598838e-07
608.6956521739131,4.783623700664956e-07
615.3846153846154,2.4143814931297696e-07
622.0735785953178,4.314924928466348e-07
628.7625418060201,1.6201590928803017e-07
635.4515050167224,2.9655546187605643e-07
642.1404682274248,2.2495910362850787e-07
648.829431438127,1.0559774622886782e-07
655.5183946488295,1.9405595274955135e-07
662.2073578595317,9.427695495203209e-08
668.8963210702341,2.171245544129601e-07
675.5852842809364,5.934071550579156e-07
682.2742474916388,2.6940422443342945e-07
688.9632107023411,1.7942737518395424e-07
695.6521739130435,1.2145700342989697e-07
702.3411371237459,2.5867067285056113e-07
709.0301003344482,3.218773801523527e-07
715.7190635451504,8.365319214247867e-07
722.4080267558528,1.2627383757432803e-06
729.0969899665552,3.409200691547314e-07
735.7859531772575,6.759050968420344e-07
742.4749163879599,6.007825818795276e-07
749.1638795986622,2.771050065919694e-07
755.8528428093646,1.9272117621608732e-07
762.5418060200668,2.7298949065016424e-07
769.2307692307693,2.407343469405824e-07
775.9197324414715,2.5319361404377116e-07
782.608695652174,2.1774365687853068e-07
789.2976588628762,5.230301357795498e-07
795.9866220735787,1.9219494652473106e-07
802.6755852842809,2.0989943719129155e-07
809.3645484949832,1.644791693574093e-07
816.0535117056857,3.41946597646943e-07
822.7424749163879,8.961462693677531e-07
829.4314381270904,2.5257926864584925e-06
836.1204013377926,2.5031796352592153e-06
842.8093645484951,3.0281307063418184e-07
849.4983277591973,4.3969664738816186e-07
856.1872909698997,5.289547953978528e-07
862.876254180602,3.483985880984207e-07
869.5652173913044,4.4174054458297424e-07
876.2541806020067,5.237987368868261e-07
882.943143812709,1.5764960257377215e-05
889.6321070234113,3.425642913133157e-06
896.3210702341137,7.0745210322638e-07
903.010033444816,8.454365589263794e-07
909.6989966555184,6.435121045636444e-07
916.3879598662207,1.9527614797368923e-06
923.0769230769231,3.9683549372340643e-07
929.7658862876254,4.6438493644572673e-07
936.4548494983277,9.041317826913489e-07
943.1438127090302,4.76853135908436e-07
949.8327759197324,2.579140744429635e-07
956.5217391304349,2.115054816827799e-07
963.2107023411371,2.9947122145739123e-07
969.8996655518395,7.833214841387171e-07
976.5886287625418,2.561477760997645e-07
983.2775919732441,1.6006116641301177e-07
989.9665551839465,3.6630716902231226e-06
996.6555183946488,1.958920441199256e-06
1003.3444816053512,1.6562930775534313e-06
1010.0334448160535,4.6098617004182795e-07
1016.7224080267559,7.730507260235661e-07
1023.4113712374582,4.158234985930048e-07
1030.1003344481605,3.7993258100106454e-07
1036.789297658863,4.1847539121269345e-07
1043.4782608695652,3.2932149169830185e-07
1050.1672240802675,3.4248524011507994e-07
1056.85618729097,4.0583573748450526e-07
1063.5451505016722,1.1136779799515141e-06
1070.2341137123747,5.352662948563365e-07
1076.923076923077,4.5023962092600695e-07
1083.6120401337791,2.5895468974781447e-06
1090.3010033444816,6.62533630224554e-07
1096.989966555184,4.448482440919479e-07
1103.6789297658863,5.403145367690686e-07
1110.3678929765886,3.6645102878362525e-07
1117.056856187291,8.70693846614078e-07
1123.7458193979933,8.537703464020142e-07
1130.4347826086955,5.877873642126762e-07
1137.123745819398,3.3822497440599185e-07
1143.8127090301005,6.966644945346371e-07
1150.5016722408027,9.954365830458728e-07
1157.190635451505,1.2196677991606437e-06
1163.8795986622074,2.7994574901326454e-07
1170.5685618729099,3.326641424268904e-07
1177.2575250836119,2.0042082596558506e-06
1183.9464882943143,6.476522298380128e-07
1190.6354515050168,1.679180381953789e-07
1197.3244147157193,2.1563126562868425e-07
1204.0133779264213,2.4043955892823073e-07
1210.7023411371238,2.3618995276615756e-07
1217.3913043478262,4.01582518528777e-07
1224.0802675585282,3.6572612970192077e-07
1230.7692307692307,2.785926427670759e-07
1237.4581939799332,4.421037640635764e-07
1244.1471571906357,3.055439329621939e-07
1250.8361204013377,5.758657486575857e-07
1257.5250836120401,5.035972525985497e-07
1264.2140468227426,2.3131215544467387e-06
1270.9030100334448,6.422099687284668e-07
1277.591973244147,3.435370245887913e-07
1284.2809364548496,4.85485866401047e-07
1290.9698996655518,1.169533476013898e-06
1297.658862876254,2.3588201597509006e-07
1304.3478260869565,1.1454822277271093e-07
1311.036789297659,1.729294668349395e-07
1317.7257525083612,2.1209613441769472e-07
1324.4147157190635,1.2531659357868723e-07
1331.103678929766,2.795307433296529e-07
1337.7926421404682,6.818067925195542e-07
1344.4816053511706,6.213461023601839e-07
1351.1705685618729,2.661138575813752e-07
1357.8595317725753,3.480465692685113e-07
1364.5484949832776,1.4501164587026076e-06
1371.2374581939798,8.217870249173339e-07
1377.9264214046823,1.5329090183619898e-07
1384.6153846153845,3.433009950670303e-07
1391.304347826087,4.526089949799281e-07
1397.9933110367892,1.8456860889105034e-07
1404.6822742474917,2.458150337547731e-07
1411.371237458194,5.202354572923105e-07
1418.0602006688964,1.654866711942895e-07
1424.7491638795987,3.522309077422148e-07
1431.438127090301,3.804322261942143e-07
1438.1270903010034,4.3669411927537744e-07
1444.8160535117056,7.273662046632318e-07
1451.505016722408,8.550206005473865e-07
1458.1939799331103,1.6674879591973715e-07
1464.8829431438128,1.285881291970627e-07
1471.571906354515,5.035128679644504e-07
1478.2608695652173,3.6193454846023127e-07
1484.9498327759197,5.454462265009598e-07
1491.6387959866222,1.7469360484045598e-07
1498.3277591973244,2.265615144734189e-07
1505.0167224080267,1.8031030728960634e-07
1511.7056856187291,9.787691799376201e-07
1518.3946488294316,4.3882620216467523e-07
1525.0836120401336,3.693901840235448e-07
1531.772575250836,2.775396370791932e-07
1538.4615384615386,2.420836061721114e-07
1545.1505016722408,2.466168389914391e-07
1551.839464882943,3.6352156513314196e-07
1558.5284280936455,3.0801854742660073e-07
1565.217391304348,2.1876508702747405e-07
1571.90635451505,1.789194175611111e-07
1578.5953177257525,2.024545207891245e-07
1585.284280936455,2.0397181710633855e-07
1591.9732441471574,2.4721832663502926e-07
1598.6622073578594,2.0564129282458793e-07
1605.3511705685619,5.352982566438673e-07
1612.0401337792644,8.514599019656798e-07
1618.7290969899664,1.0389690409640246e-06
1625.4180602006688,1.4072847859124274e-07
1632.1070234113713,7.382890437688561e-07
1638.7959866220738,2.759572151355086e-07
1645.4849498327758,1.720087902404951e-06
1652.1739130434783,1.395439248655269e-06
1658.8628762541807,2.7315463622064167e-07
1665.551839464883,4.850841419237568e-07
1672.2408026755852,8.894416383320392e-07
1678.9297658862877,1.7590002981322747e-07
1685.6187290969901,7.331149882821546e-08
1692.3076923076922,2.1359062976356812e-07
1698.9966555183946,2.131816311262797e-07
1705.685618729097,2.0988985919912072e-07
1712.3745819397993,3.999968656533776e-07
1719.0635451505016,9.931514968646132e-07
1725.752508361204,5.01995528275718e-07
1732.4414715719065,2.1930334115185136e-07
1739.1304347826087,1.7780087860841082e-07
1745.819397993311,2.9457372371636523e-07
1752.5083612040135,1.6709157132863436e-07
1759.1973244147157,2.6690838500657506e-07
1765.886287625418,2.073552554168297e-07
1772.5752508361204,1.279906456172307e-07
1779.2642140468226,1.5443344241909936e-07
1785.953177257525,2.6929657547809914e-07
1792.6421404682274,2.7155332600793576e-07
1799.3311036789298,2.9290799199998366e-07
1806.020066889632,2.5441981525544834e-07
1812.7090301003345,3.3917900032489e-07
1819.3979933110368,1.5323201040851932e-07
1826.086956521739,1.9616674875040809e-07
1832.7759197324415,1.9839117221884516e-07
1839.464882943144,2.662682100007795e-07
1846.1538461538462,7.209912190702832e-08
1852.8428093645484,8.9710150333073e-08
1859.531772575251,7.590192263808716e-08
1866.2207357859531,1.3007487630752302e-07
1872.9096989966554,1.2525986756683664e-07
1879.5986622073578,7.073915869319681e-08
1886.2876254180603,5.018156987534507e-08
1892.9765886287626,1.8092884088229685e-07
1899.6655518394648,6.873050824085315e-08
1906.3545150501673,4.757476547309865e-08
1913.0434782608697,6.069761253066295e-08
1919.7324414715717,1.7713727709390078e-07
1926.4214046822742,1.0901306962261261e-07
1933.1103678929767,6.799220244744024e-08
1939.799331103679,1.0762598046229074e-07
1946.4882943143812,9.892061635041024e-08
1953.1772575250836,1.3044632861467368e-07
1959.866220735786,1.7776267753359385e-07
1966.5551839464881,7.53704770185209e-08
1973.2441471571906,3.7650363396646847e-07
1979.933110367893,1.2054295009794475e-07
1986.6220735785955,6.543742069736479e-08
1993.3110367892975,1.1131175199400971e-07
2000.0,1.342293837674883e-07
